id,code,grade,subject,strand,cluster,description,dateadopted,status,sourceurl,clarifications,glossaryterms,purposeandstrategies,misconceptions,tieredinstruction,instructionaltasks,instructionalitems,horizontalalignment,verticalalignment,previousbenchmarks,nextbenchmarks,relatedcourses,accesspoints,resourcelinks,materials
15304,MA.2.GR.2.2,2,Mathematics (B.E.S.T.),Geometric Reasoning,Describe perimeter and find the perimeter of polygons.,"Find the perimeter of a polygon with whole-number side lengths. Polygons are limited to triangles, rectangles, squares and pentagons.",,State Board Approved,,"Clarification 1: Instruction includes the connection to the associative and commutative properties of addition. Refer to Properties of Operations, Equality and Inequality (Appendix D). | Clarification 2: Within this benchmark, the expectation is not to use a formula to find perimeter. | Clarification 3: Instruction includes cases where the side lengths are given or measured to the nearest unit. | Clarification 4: Perimeter cannot exceed 100 units and responses include the appropriate units.",,,Students may add incorrectly when adding up the side lengths of a polygon. | Students may not add up all the sides (i.e. they may add two sides of a rectangle instead of all four side lengths). | Students may leave gaps when measuring objects with tiles. | Students may need support in making the connection to the commutative and associative properties when determining the perimeter of a figure.,,,,,,,,,,,
15305,MA.2.DP.1.1,2,Mathematics (B.E.S.T.),Data Analysis and Probability,"Collect, categorize, represent and interpret data using appropriate titles, labels and units.","Collect, categorize and represent data using tally marks, tables, pictographs or bar graphs. Use appropriate titles, labels and units.",,State Board Approved,,"Clarification 1: Data displays can be represented both horizontally and vertically. Scales on graphs are limited to ones, fives or tens.",,,"Students may formulate questions that involve only mathematical data. | Students may ignore categories and only list data points. For example, students may be collecting data on favorite color (8 red, 5 blue, 7 green) and may only list 8, 5 and 7. | For example, students may be collecting data on favorite color (8 red, 5 blue, 7 green) and may only list 8, 5 and 7. | Students may put the data totals in the incorrect categories. | Students may misrepresent the count for each data point.",,,,,,,,,,,
15306,MA.2.DP.1.2,2,Mathematics (B.E.S.T.),Data Analysis and Probability,"Collect, categorize, represent and interpret data using appropriate titles, labels and units.","Interpret data represented with tally marks, tables, pictographs or bar graphs including solving addition and subtraction problems.",,State Board Approved,,"Clarification 1: Addition and subtraction problems are limited to whole numbers with sums within 100 and related differences. | Clarification 2: Data displays can be represented both horizontally and vertically. Scales on graphs are limited to ones, fives or tens.",,,Students may miscount the number of pictures in a pictograph graph or misread the height of a bar in a bar graph. | Students may think that one picture of an item in a pictograph represents only one item.,,,,,,,,,,,
15307,MA.3.NSO.1.1,3,Mathematics (B.E.S.T.),Number Sense and Operations,Understand the place value of four-digit numbers.,"Read and write numbers from 0 to 10,000 using standard form, expanded form and word form.",,State Board Approved,,,,,"When the value of a digit in a multi-digit whole number is 0, students can misunderstand that it represents 0 of that place value. For example, in the number 2,530, there are 0 ones. In the number 1,008, there are 0 hundreds and 0 tens.",,,,,,,,,,,
15308,MA.3.NSO.1.2,3,Mathematics (B.E.S.T.),Number Sense and Operations,Understand the place value of four-digit numbers.,"Compose and decompose four-digit numbers in multiple ways using thousands, hundreds, tens and ones. Demonstrate each composition or decomposition using objects, drawings and expressions or equations.",,State Board Approved,,,,,"Students can misunderstand that the 5 in 57 represents 5, not 50 or 5 tens. Students need practice with representing two and three-digit numbers with manipulatives that group (base ten blocks) and those that do NOT group, such as counters, etc. | Students can misunderstand that when decomposing a number in multiple ways, the value of the number does not change. 879 is the same as 87 tens + 9 ones and 8 hundreds + 79 ones.",,,,,,,,,,,
15309,MA.3.NSO.1.3,3,Mathematics (B.E.S.T.),Number Sense and Operations,Understand the place value of four-digit numbers.,"Plot, order and compare whole numbers up to 10,000.",,State Board Approved,,"Clarification 1: When comparing numbers, instruction includes using an appropriately scaled number line and using place values of the thousands, hundreds, tens and ones digits. | Clarification 2: Number lines, scaled by 50s, 100s or 1,000s, must be provided and can be a representation of any range of numbers. | Clarification 3: Within this benchmark, the expectation is to use symbols (<, > or =).",,,"Often students think of these relational symbols as operational symbols instead. In order to address this misconception, allow students to have practice using the number line and/or place value blocks to see the relationship between one number and the other.",,,,,,,,,,,
15310,MA.3.NSO.1.4,3,Mathematics (B.E.S.T.),Number Sense and Operations,Understand the place value of four-digit numbers.,"Round whole numbers from 0 to 1,000 to the nearest 10 or 100.",,State Board Approved,,,,,"Students can confuse the place value to which they are rounding. For example, students mistakenly round 923 to 900 when rounding to the nearest ten because they observe 2 tens and round to 900, instead of using the ones value of 3 to help them determine that 923 is closest to 920. The use of benchmarks numbers and number lines helps students understand rounding conceptually. | Students assume numbers that are already located at benchmarks cannot be rounded. For example, students think that 920 cannot be rounded to the nearest ten. | It is imperative for students to develop a conceptual understanding of rounding, such as what the benchmarks are, using place value understanding to round numbers without instruction of mnemonics, rhymes or songs.",,,,,,,,,,,
15311,MA.3.NSO.2.1,3,Mathematics (B.E.S.T.),Number Sense and Operations,Add and subtract multi-digit whole numbers. Build an understanding of multiplication and division operations.,Add and subtract multi-digit whole numbers including using a standard algorithm with procedural fluency.,,State Board Approved,,,,,"Students who learn a standard algorithm without being able to explain why it works using place value understanding often make computational errors and/or cannot determine if their solutions are reasonable. To assist students with this misconception, students should justify the algorithm they choose by checking for reasonableness. | Students who cannot explain their steps mathematically often have difficulty understanding regrouping. Many computational errors are a result of students not discovering this conceptual understanding while they practiced adding and subtracting with procedural reliability in Grade 2 (MA.2.NSO.2.3 and MA.2.NSO.2.4). Instruction that focuses on learning standard algorithms for addition and subtraction as a series of steps without checking for conceptual understanding will contribute to regrouping errors.",,,,,,,,,,,
15312,MA.3.NSO.2.2,3,Mathematics (B.E.S.T.),Number Sense and Operations,Add and subtract multi-digit whole numbers. Build an understanding of multiplication and division operations.,"Explore multiplication of two whole numbers with products from 0 to 144, and related division facts.",,State Board Approved,,"Clarification 1: Instruction includes equal groups, arrays, area models and equations. | Clarification 2: Within the benchmark, it is the expectation that one problem can be represented in multiple ways and understanding how the different representations are related to each other. | Clarification 3: Factors and divisors are limited to up to 12.",,,"Students may have difficulty relating word problems and real-world scenarios to models, expressions, and equations. For example, students may not differentiate the number of groups versus the number in each group in multiplication, which then impacts their models, expressions, and equations. | Students may be confused by measurement (or quotative) division when the amount in each group is given and the number of equal-sized groups is found.",,,,,,,,,,,
15313,MA.3.NSO.2.3,3,Mathematics (B.E.S.T.),Number Sense and Operations,Add and subtract multi-digit whole numbers. Build an understanding of multiplication and division operations.,"Multiply a one-digit whole number by a multiple of 10, up to 90, or a multiple of 100, up to 900, with procedural reliability.",,State Board Approved,,"Clarification 1: When multiplying one-digit numbers by multiples of 10 or 100, instruction focuses on methods that are based on place value.",,,"Students can quickly jump to the conclusion that they can “count zeroes” to determine the number of zeroes in the product (e.g., the product of 7 x 500 will have two zeroes because 500 has two zeroes). This can confuse students when the products of the known facts already end in zero (e.g., using 5 × 8 = 40 to multiply 5 × 80). Students who rely on this trick will often indicate that 5 × 80 = 40 because they see only one zero in the factors.",,,,,,,,,,,
15314,MA.3.NSO.2.4,3,Mathematics (B.E.S.T.),Number Sense and Operations,Add and subtract multi-digit whole numbers. Build an understanding of multiplication and division operations.,Multiply two whole numbers from 0 to 12 and divide using related facts with procedural reliability.,,State Board Approved,,Clarification 1: Instruction focuses on helping a student choose a method they can use reliably.,,,"This benchmark does not support students’ memorization of multiplication and division facts. Memorization does not indicate work toward multiplication and division fact fluency. Students should be able to explain how they know multiplication and division facts, and how they can find products and quotients of unknown facts.",,,,,,,,,,,
15315,MA.3.FR.1.1,3,Mathematics (B.E.S.T.),Fractions,Understand fractions as numbers and represent fractions.,Represent and interpret unit fractions in the form 1/n as the quantity formed by one part when a whole is partitioned into n equal parts.,,State Board Approved,,"Clarification 1: This benchmark emphasizes conceptual understanding through the use of manipulatives or visual models. | Clarification 2: Instruction focuses on representing a unit fraction as part of a whole, part of a set, a point on a number line, a visual model or in fractional notation. | Clarification 3: Denominators are limited to 2, 3, 4, 5, 6, 8, 10 and 12.",,,"Students can misconceive the difference between the meaning of numerators and denominators in fractions. For this reason, it is important for teachers and students to represent unit fractions in multiple ways to understand how they relate to a whole. Representations can be modeled together (e.g., fraction strips side-by-side with number lines, or relationship rods side-by-side with number lines) to help build student understanding. | Students can misconceive that the smaller the denominator, the smaller the piece, or the larger the denominator, the larger the piece. This is due to thinking and reasoning where students worked with whole numbers (the smaller a number, the less it is, or the larger a number, the more it is). To correct this misconception, have students utilize different models, such as fraction bars and number lines, which would provide students opportunities to compare unit fractions and to reason about their sizes. | Students can misconceive that all shapes can be partitioned the same way. To assist with this misconception, have students practice with presenting shapes other than circles, squares or rectangles to prevent students from overgeneralizing that all shapes can be divided the same way.",,,,,,,,,,,
15316,MA.3.FR.1.2,3,Mathematics (B.E.S.T.),Fractions,Understand fractions as numbers and represent fractions.,"Represent and interpret fractions, including fractions greater than one, in the form of mn as the result of adding the unit fraction 1n to itself mtimes.",,State Board Approved,,"Clarification 1: Instruction emphasizes conceptual understanding through the use of manipulatives or visual models, including circle graphs, to represent fractions. | Clarification 2: Denominators are limited to 2, 3, 4, 5, 6, 8, 10 and 12.",,,"Students can misconceive that fractions equal to and greater than 1 can also be represented as the sum of unit fractions (e.g.,52 = 12 + 12+ 12 + 12 + 12 ). Flexible representations of models (e.g., rectangular area models that align with number lines) help students connect their understanding of fractions and how they are decomposed into unit fractions.",,,,,,,,,,,
15317,MA.3.FR.1.3,3,Mathematics (B.E.S.T.),Fractions,Understand fractions as numbers and represent fractions.,"Read and write fractions, including fractions greater than one, using standard form, numeral-word form and word form.",,State Board Approved,,"Clarification 1: Instruction focuses on making connections to reading and writing numbers to develop the understanding that fractions are numbers and to support algebraic thinking in later grades. | Clarification 2: Denominators are limited to 2, 3, 4, 5, 6, 8, 10 and 12.",,,"Students can misinterpret fractions as two numbers that are being compared (e.g., reading “1 over 2” instead of one-half). The use of precise vocabulary helps them understand that a fraction is a representation of one number. | Students can misinterpret that a fraction always models part of one whole. Exceptions to this misconception are fractions greater than one or fractions represented on number lines and in sets of objects.",,,,,,,,,,,
15318,MA.3.FR.2.1,3,Mathematics (B.E.S.T.),Fractions,Order and compare fractions and identify equivalent fractions.,"Plot, order and compare fractional numbers with the same numerator or the same denominator.",,State Board Approved,,"Clarification 1: Instruction includes making connections between using a ruler and plotting and ordering fractions on a number line. | Clarification 2: When comparing fractions, instruction includes an appropriately scaled number line and using reasoning about their size. | Clarification 3: Fractions include fractions greater than one, including mixed numbers, with denominators limited to 2, 3, 4, 5, 6, 8, 10 and 12.",,,"Students can be confused that when numerators are the same in fractions, larger denominators represent smaller pieces, and smaller denominators represent larger pieces. | When fraction comparisons are made using area models, students may be confused that the size of the whole for each model must be the same size.",,,,,,,,,,,
15319,MA.3.FR.2.2,3,Mathematics (B.E.S.T.),Fractions,Order and compare fractions and identify equivalent fractions.,Identify equivalent fractions and explain why they are equivalent.,,State Board Approved,,"Clarification 1: Instruction includes identifying equivalent fractions and explaining why they are equivalent using manipulatives, drawings, and number lines. | Clarification 2: Within this benchmark, the expectation is not to generate equivalent fractions. | Clarification 3: Fractions are limited to fractions less than or equal to one with denominators of 2, 3, 4, 5, 6, 8, 10 and 12. Number lines must be given and scaled appropriately.",,,"Students can be confused that when numerators are the same in fractions, larger denominators represent smaller pieces, and smaller denominators represent larger pieces",,,,,,,,,,,
15320,MA.3.AR.1.1,3,Mathematics (B.E.S.T.),Algebraic Reasoning,Solve multiplication and division problems.,Apply the distributive property to multiply a one-digit number and two-digit number. Apply properties of multiplication to find a product of one-digit whole numbers.,,State Board Approved,,"Clarification 1: Within this benchmark, the expectation is to apply the associative and commutative properties of multiplication, the distributive property and name the properties. Refer to K-12 Glossary (Appendix C). | Clarification 2: Within the benchmark, the expectation is to utilize parentheses. | Clarification 3: Multiplication for products of three or more numbers is limited to factors within 12. Refer to Properties of Operations, Equality and Inequality (Appendix D).",,,"Students can be confused about how to write expressions using the distributive property. One common mistake that students make is writing an expression 4 × 72 as (4 × 70) × (4 × 2) instead of (4 × 70) + (4 × 2). Instruction should show concrete models (e.g., base ten drawings) along with equations so students can understand the relationship between multiplication and addition while applying the property and writing expressions.",,,,,,,,,,,
15321,MA.3.AR.1.2,3,Mathematics (B.E.S.T.),Algebraic Reasoning,Solve multiplication and division problems.,Solve one- and two-step real-world problems involving any of four operations with whole numbers.,,State Board Approved,,"Clarification 1: Instruction includes understanding the context of the problem, as well as the quantities within the problem. | Clarification 2: Multiplication is limited to factors within 12 and related division facts. Refer to Situations Involving Operations with Numbers (Appendix A).",,,"Students may have difficulty creating effective models (e.g., drawings, equations) that will help them solve real-world problems. To assist students, provide opportunities for them to estimate solutions and try different models before solving. Beginning instruction by showing problems without their quantities is a strategy for helping students determine what steps and operations will be used to solve. | Students may also have difficulty identifying when real-world problems require two steps to solve and will complete only one of the steps. Focusing on comprehension of real-world problems helps students determine what step(s) are required to solve.",,,,,,,,,,,
15322,MA.3.AR.2.1,3,Mathematics (B.E.S.T.),Algebraic Reasoning,Develop an understanding of equality and multiplication and division.,Restate a division problem as a missing factor problem using the relationship between multiplication and division.,,State Board Approved,,"Clarification 1: Multiplication is limited to factors within 12 and related division facts. | Clarification 2: Within this benchmark, the symbolic representation of the missing factor uses any symbol or a letter.",,,Students may have difficulty understanding that the quotient of a division equation will become a factor in a multiplication equation. Allowing students to use an array model and/or reinforcing fact families may help to clarify the relationship.,,,,,,,,,,,
15323,MA.3.AR.2.2,3,Mathematics (B.E.S.T.),Algebraic Reasoning,Develop an understanding of equality and multiplication and division.,Determine and explain whether an equation involving multiplication or division is true or false.,,State Board Approved,,Clarification 1: Instruction extends the understanding of the meaning of the equal sign to multiplication and division. | Clarification 2: Problem types are limited to an equation with three or four terms. The product or quotient can be on either side of the equal sign. | Clarification 3: Multiplication is limited to factors within 12 and related division facts.,,,"By Grade 3, students may grow to expect equation solutions to be represented as the expressions on the right side of the equal sign. When having students evaluate true or false equations with only three terms (e.g., 18 = 3 × 6), teachers should give examples showing products and quotients on the left side.",,,,,,,,,,,
15324,MA.3.AR.2.3,3,Mathematics (B.E.S.T.),Algebraic Reasoning,Develop an understanding of equality and multiplication and division.,"Determine the unknown whole number in a multiplication or division equation, relating three whole numbers, with the unknown in any position.",,State Board Approved,,Clarification 1: Instruction extends the development of algebraic thinking skills where the symbolic representation of the unknown uses any symbol or a letter. | Clarification 2: Problems include the unknown on either side of the equal sign. | Clarification 3: Multiplication is limited to factors within 12 and related division facts. Refer to Situations Involving Operations with Numbers (Appendix A).,,,"By Grade 3, many students expect the solutions of equations to be an expression on the right side of the equal sign. When students determine unknown values in multiplication or division equations, give examples with the product or quotient on the left side.",,,,,,,,,,,
15325,MA.3.AR.3.1,3,Mathematics (B.E.S.T.),Algebraic Reasoning,"Identify numerical patterns, including multiplicative patterns.","Determine and explain whether a whole number from 1 to 1,000 is even or odd.",,State Board Approved,,Clarification 1: Instruction includes determining and explaining using place value and recognizing patterns.,,,"Students may confuse that in an even number, the ones digit indicates whether it is a multiple of 2. For example, students may look at the number 883 as even because the digit 8 in the hundreds and tens places is even.",,,,,,,,,,,
15326,MA.3.AR.3.2,3,Mathematics (B.E.S.T.),Algebraic Reasoning,"Identify numerical patterns, including multiplicative patterns.",Determine whether a whole number from 1 to 144 is a multiple of a given one-digit number.,,State Board Approved,,Clarification 1: Instruction includes determining if a number is a multiple of a given number by using multiplication or division.,,,"When listing multiples of numbers, students may not list the number itself. It is important to emphasize that the smallest multiple is the number itself. Having students write multiples of a number by consecutive factors beginning with one.",,,,,,,,,,,
15327,MA.3.AR.3.3,3,Mathematics (B.E.S.T.),Algebraic Reasoning,"Identify numerical patterns, including multiplicative patterns.","Identify, create and extend numerical patterns.",,State Board Approved,,"Clarification 1: The expectation is to use ordinal numbers (1st, 2nd, 3rd, …) to describe the position of a number within a sequence. | Clarification 2: Problem types include patterns involving addition, subtraction, multiplication or division of whole numbers.",,,"Students can confuse a term’s number and its value in the sequence. For example, in the pattern 6, 12, 18,..., students can struggle to understand that even though 12 is the 2nd term, 6 is being added to it to find the value of the 3rd term (18). Encourage students to use precise vocabulary while describing patterns to address this confusion.",,,,,,,,,,,
15328,MA.3.M.1.1,3,Mathematics (B.E.S.T.),Measurement,Measure attributes of objects and solve problems involving measurement.,"Select and use appropriate tools to measure the length of an object, the volume of liquid within a beaker and temperature.",,State Board Approved,,"Clarification 1: Instruction focuses on identifying measurement on a linear scale, making the connection to the number line. | Clarification 2: When measuring the length, limited to the nearest centimeter and half or quarter inch. | Clarification 3: When measuring the temperature, limited to the nearest degree. | Clarification 4: When measuring the volume of liquid, limited to nearest milliliter and half or quarter cup.",,,"Students who struggle to identify benchmarks on number lines can also struggle to measure units of length, liquid volume, and temperature. To assist students, teachers should allow students to measure often and provide feedback. Students can also complete error and reasoning analysis activities to identify this common measurement difficulty.",,,,,,,,,,,
15329,MA.3.M.1.2,3,Mathematics (B.E.S.T.),Measurement,Measure attributes of objects and solve problems involving measurement.,"Solve real-world problems involving any of the four operations with whole-number lengths, masses, weights, temperatures or liquid volumes.",,State Board Approved,,"Clarification 1: Within this benchmark, it is the expectation that responses include appropriate units. | Clarification 2: Problem types are not expected to include measurement conversions. | Clarification 3: Instruction includes the comparison of attributes measured in the same units. | Clarification 4: Units are limited to yards, feet, inches; meters, centimeters; pounds, ounces; kilograms, grams; degrees Fahrenheit, degrees Celsius; gallons, quarts, pints, cups; and liters, milliliters.",,,"Students who struggle to identify benchmarks on number lines can also struggle to measure units of length, liquid volume, and temperature. Allow students to measure often and receive feedback. Students can also use error and reasoning analysis activities to identify this common measurement difficulty. | Students may have difficulty creating effective models (e.g., drawings, equations) that will help them solve real-world problems. To assist students, provide opportunities for them to estimate solutions and try different models before solving. Beginning instruction by showing problems without their quantities is a strategy for helping students determine what steps and operations will be used to solve. | Students can struggle to identify when real-world problems require two steps to solve and will complete only one of the steps. Focusing on comprehension of real-world problems helps students determine what step(s) are required to solve.",,,,,,,,,,,
15330,MA.3.M.2.1,3,Mathematics (B.E.S.T.),Measurement,Tell and write time and solve problems involving time.,Using analog and digital clocks tell and write time to the nearest minute using a.m. and p.m. appropriately.,,State Board Approved,,"Clarification 1: Within this benchmark, the expectation is not to understand military time.",,,"Students can misrepresent the location of the hour hand when expressing a given time on an analog clock. For example, when representing the hour hand for 3:19, students can be unsure where the hour hand is located between the 3 and 4. Model reasoning with students that the hour hand should be less than half way between 3 and 4 because 3:19 is before 3:30 when the hour hand would be in the middle. Allow for classroom discussions that encourage students to justify the location of hour hands between benchmarks when representing analog time.",,,,,,,,,,,
15331,MA.3.M.2.2,3,Mathematics (B.E.S.T.),Measurement,Tell and write time and solve problems involving time.,Solve one- and two-step real-world problems involving elapsed time.,,State Board Approved,,"Clarification 1: Within this benchmark, the expectation is not to include crossing between a.m. and p.m.",,,"Students can confuse when time crosses the hour because it does not follow the familiar base ten pattern. For example, students can misinterpret that the elapsed time between 9:55 a.m. and 10:05 a.m. and state that the elapsed time is 50 minutes because they have found the difference from 55 to 105. The use of number lines and clocks side-by-side help students build understanding about how elapsed time is calculated.",,,,,,,,,,,
15332,MA.3.GR.1.1,3,Mathematics (B.E.S.T.),Geometric Reasoning,Describe and identify relationships between lines and classify quadrilaterals.,"Describe and draw points, lines, line segments, rays, intersecting lines, perpendicular lines and parallel lines. Identify these in two-dimensional figures.",,State Board Approved,,"Clarification 1: Instruction includes mathematical and real-world context for identifying points, lines, line segments, rays, intersecting lines, perpendicular lines and parallel lines. | Clarification 2: When working with perpendicular lines, right angles can be called square angles or square corners.",,,"Students can confuse some pairs of intersecting lines as perpendicular. Encourage students to justify their thinking whenever they reason about geometric concepts. For example, students can use the corners of a standard sheet of paper or index card as a comparison to determine whether a pair of intersecting lines is perpendicular. | Students may struggle to identify examples of points, lines, line segments, rays, intersecting lines, perpendicular lines and parallel lines in real-world examples. Teachers can model and include many examples for students to explore within the learning space.",,,,,,,,,,,
15333,MA.3.GR.1.2,3,Mathematics (B.E.S.T.),Geometric Reasoning,Describe and identify relationships between lines and classify quadrilaterals.,"Identify and draw quadrilaterals based on their defining attributes. Quadrilaterals include parallelograms, rhombi, rectangles, squares and trapezoids.",,State Board Approved,,"Clarification 1: Instruction includes a variety of quadrilaterals and a variety of non-examples that lack one or more defining attributes when identifying quadrilaterals. | Clarification 2: Quadrilaterals will be filled, outlined or both when identifying. | Clarification 3: Drawing representations must be reasonably accurate.",,,"Students can confuse some pairs of intersecting lines as perpendicular. Encourage students to justify their thinking whenever they reason about geometric concepts. For example, students can use the corners of a standard sheet of paper as a comparison to determine whether a pair of intersecting lines is perpendicular. | Some students may assume all quadrilaterals must have attributes of squares, rhombi, rectangles, squares, and trapezoids. During instruction, it is important for students to determine that a figure lacking further defining attributes (such as a kite) can still be a quadrilateral.",,,,,,,,,,,
15334,MA.3.GR.1.3,3,Mathematics (B.E.S.T.),Geometric Reasoning,Describe and identify relationships between lines and classify quadrilaterals.,Draw line(s) of symmetry in a two-dimensional figure and identify line-symmetric two-dimensional figures.,,State Board Approved,,"Clarification 1: Instruction develops the understanding that there could be no line of symmetry, exactly one line of symmetry or more than one line of symmetry. | Clarification 2: Instruction includes folding paper along a line of symmetry so that both halves match exactly to confirm line-symmetric figures.",,,Students can miss identifying all lines of symmetry in line-symmetric figures. Encourage classroom discussions and have students justify their arguments about lines of symmetry using their partitioned representations.,,,,,,,,,,,
15335,MA.3.GR.2.1,3,Mathematics (B.E.S.T.),Geometric Reasoning,Solve problems involving the perimeter and area of rectangles.,Explore area as an attribute of a two-dimensional figure by covering the figure with unit squares without gaps or overlaps. Find areas of rectangles by counting unit squares.,,State Board Approved,,"Clarification 1: Instruction emphasizes the conceptual understanding that area is an attribute that can be measured for a two-dimensional figure. The measurement unit for area is the area of a unit square, which is a square with side length of 1 unit. | Clarification 2: Two-dimensional figures cannot exceed 12 units by 12 units and responses include the appropriate units in word form (e.g., square centimeter or sq.cm.).",,,Students may miscount unit squares when they are laid out in a figure. Encourage students to mark unit squares as they are counted. | Students can confuse why area is measured in “square units.” Use this exploratory benchmark for students to relate area measurement to the counting of squares. This benchmark provides the opportunity for students to build vocabulary necessary for area measurement.,,,,,,,,,,,
15336,MA.3.GR.2.2,3,Mathematics (B.E.S.T.),Geometric Reasoning,Solve problems involving the perimeter and area of rectangles.,Find the area of a rectangle with whole-number side lengths using a visual model and a multiplication formula.,,State Board Approved,,"Clarification 1: Instruction includes covering the figure with unit squares, a rectangular array or applying a formula. | Clarification 2: Two-dimensional figures cannot exceed 12 units by 12 units and responses include the appropriate units in word form.",,,"When using a formula, students may be confused about which dimension to label the length and width in a rectangle. During instruction, teachers should make connections to the commutative property of multiplication to emphasize that the order in which dimensions are multiplied will not change the rectangle’s area, and therefore the length and width can be labeled flexibly.",,,,,,,,,,,
15337,MA.3.GR.2.3,3,Mathematics (B.E.S.T.),Geometric Reasoning,Solve problems involving the perimeter and area of rectangles.,Solve mathematical and real-world problems involving the perimeter and area of rectangles with whole-number side lengths using a visual model and a formula.,,State Board Approved,,"Clarification 1: Within this benchmark, the expectation is not to find unknown side lengths. | Clarification 2: Two-dimensional figures cannot exceed 12 units by 12 units and responses include the appropriate units in word form.",,,"Students may confuse area and perimeter and use incorrect formulas to find measurements. During instruction, the teacher should continue to emphasize the difference between perimeter as a one-dimensional measurement of length and area as a two-dimensional measurement that covers a shape with unit squares. The teacher can use visuals to show the perimeter (e.g., yarn, string stretched around the rectangle) and area (e.g., square counters, square-shaped sticky notes, square-shaped crackers covering it) to help students differentiate between the measurements.",,,,,,,,,,,
15338,MA.3.GR.2.4,3,Mathematics (B.E.S.T.),Geometric Reasoning,Solve problems involving the perimeter and area of rectangles.,Solve mathematical and real-world problems involving the perimeter and area of composite figures composed of non-overlapping rectangles with whole-number side lengths.,,State Board Approved,,Clarification 1: Composite figures must be composed of non-overlapping rectangles. | Clarification 2: Each rectangle within the composite figure cannot exceed 12 units by 12 units and responses include the appropriate units in word form.,,,"Students can confuse the side lengths when determining area calculations once a composite figure has been decomposed. For example, a potential way to decompose the figure from the task below is seen on the right. A student may not yet understand that once decomposed in this way, the length of 14 centimeters on the right side of the figure is now the sum of 5 centimeters + 9 centimeters. The student may continue to multiply by 14 centimeters to find the areas of each rectangle instead. Likewise, they may multiply 5 centimeters by 6 centimeters (instead of 9 centimeters) to find the area of the upper rectangle. During instruction, encourage students to label how side lengths change once a composite figure has been decomposed. | Students may add all sides of the parts of the figure once it is decomposed to determine the perimeter of the composite figure. For example in the figure shown, the student may find the perimeter to be (9 centimeters + 9 centimeters + 5 centimeters + 5 centimeters) + (9 centimeters + 9 centimeters = 3 centimeters + 3 centimeters) = 52 centimeters, when the correct answer is 9 centimeters + 14 centimeters + 3 centimeters + 9 centimeters + 6 centimeters + 5 centimeters = 46 centimeters.",,,,,,,,,,,
15339,MA.3.DP.1.1,3,Mathematics (B.E.S.T.),Data Analysis and Probability,"Collect, represent and interpret numerical and categorical data.","Collect and represent numerical and categorical data with whole-number values using tables, scaled pictographs, scaled bar graphs or line plots. Use appropriate titles, labels and units.",,State Board Approved,,"Clarification 1: Within this benchmark, the expectation is to complete a representation or construct a representation from a data set. | Clarification 2: Instruction includes the connection between multiplication and the number of data points represented by a bar in scaled bar graph or a scaled column in a pictograph. | Clarification 3: Data displays are represented both horizontally and vertically.",,,"Students may confuse which types of data (categorical or numerical) can be displayed with a data representation. In Grades 1 and 2, students graphed frequency of categorical data in pictographs and bar graphs. Representing frequency in numerical data graphed via line plots is a new expectation in Grade 3. During instruction, expect students to justify the representations they choose based on the data collected. | Students tend to count each square as one for intervals on bar graphs that are not single units.",,,,,,,,,,,
15340,MA.3.DP.1.2,3,Mathematics (B.E.S.T.),Data Analysis and Probability,"Collect, represent and interpret numerical and categorical data.","Interpret data with whole-number values represented with tables, scaled pictographs, circle graphs, scaled bar graphs or line plots by solving one- and two-step problems.",,State Board Approved,,Clarification 1: Problems include the use of data in informal comparisons between two data sets in the same units. | Clarification 2: Data displays can be represented both horizontally and vertically. | Clarification 3: Circle graphs are limited to showing the total values in each category.,,,Students may confuse the values in scaled pictographs and bar graphs. They should always utilize the given key when determining frequency of each category.,,,,,,,,,,,
15341,MA.4.NSO.1.1,4,Mathematics (B.E.S.T.),Number Sense and Operations,Understand place value for multi-digit numbers.,Express how the value of a digit in a multi-digit whole number changes if the digit moves one place to the left or right.,,State Board Approved,,,,,"Students may not understand that when the digit moves to the left that it has increased a place value which is the same as multiplying by 10 and when the digit moves to the right that it has decreased a place value, which is the same as dividing by 10. It is important to include models and discourse throughout instruction to reason why this is happening.",,,,,,,,,,,
15342,MA.4.NSO.1.2,4,Mathematics (B.E.S.T.),Number Sense and Operations,Understand place value for multi-digit numbers.,"Read and write multi-digit whole numbers from 0 to 1,000,000 using standard form, expanded form and word form.",,State Board Approved,,,,,"Students may have misconceptions when translating word form to standard form. Numbers like one thousand often do not cause a problem; however, a number like three thousand four can cause problems for students. Many students will understand the 3,000 and the 4 but then instead of placing the 4 in the ones place, students will write the numbers as they hear them, 30,004, not understanding that this number represents more than 3,004.",,,,,,,,,,,
15343,MA.4.NSO.1.3,4,Mathematics (B.E.S.T.),Number Sense and Operations,Understand place value for multi-digit numbers.,"Plot, order and compare multi-digit whole numbers up to 1,000,000.",,State Board Approved,,"Clarification 1: When comparing numbers, instruction includes using an appropriately scaled number line and using place values of the hundred thousands, ten thousands, thousands, hundreds, tens and ones digits. | Clarification 2: Scaled number lines must be provided and can be a representation of any range of numbers. | Clarification 3: Within this benchmark, the expectation is to use symbols (<, > or =).",,,"Students often assume that the first digit of a multi-digit number indicates the size of a number. The assumption is made that 864 is greater than 2,001 because students are focusing on the leading digit instead of the place values of the number. | Students may compare the place values from right to left because many algorithms add and subtract from right to left. Emphasize that the greatest place value is on the left, so they should compare from the largest to smallest place. Students may find it helpful to model the numbers using place-value blocks or a place-value chart to visualize comparisons.",,,,,,,,,,,
